ID,Course Name,Category,Description,Module Name,Topic
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,OOP in C++,Friend Functions
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,STL,Vectors
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,STL,Lists
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,STL,Maps
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,STL,Queues & Stacks
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,STL,Algorithms
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Memory,Pointers & References
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Memory,Dynamic Memory Allocation
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Memory,Templates
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Introduction,DBMS vs File System
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Introduction,Architecture
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Introduction,Data Independence
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",SQL,DDL Commands
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",SQL,DML Commands
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",SQL,Joins
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",SQL,Subqueries
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",SQL,Indexes
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Theory,ER Models
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Theory,Normalization (1NF-BCNF)
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Theory,ACID Properties
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Advanced,Transactions
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Advanced,Concurency Control
dbms,DBMS,Computer Science,"Database Management Systems. Master SQL, NoSQL, and the theory of organized data storage.",Advanced,NoSQL Basics
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Complexity,Big O Notation
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Complexity,Time & Space Complexity
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Complexity,Recursion
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Linear DSA,Linked Lists
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Linear DSA,Stacks
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Linear DSA,Queues
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Linear DSA,Arrays
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Non-Linear,Binary Trees
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Non-Linear,Heaps
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Non-Linear,Hashing
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Non-Linear,BST
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Algorithms,"Sorting (Quick, Merge)"
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Algorithms,Searching (Binary)
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Algorithms,"Graph Algorithms (BFS, DFS)"
dsa,DSA,Computer Science,Data Structures & Algorithms. The core of problem solving. Essential for top-tier tech interviews.,Algorithms,Dynamic Programming
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Basics,Document Structure
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Basics,Heading & Paragraphs
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Basics,Links & Images
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Formatting,Lists
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Formatting,Tables
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Formatting,Forms & Inputs
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Media,Audio & Video
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Media,iFrames
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Media,SVG Integration
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Semantic HTML,"Header, Footer, Nav"
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Semantic HTML,Section & Aside
html,HTML,Web Development,The skeleton of the web. Learn semantic tagging and building accessible web structures.,Semantic HTML,Accessibility Best Practices
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Foundations,Syntax
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Foundations,Functions
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Foundations,Scope & Hoisting
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,DOM,Selecting Elements
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,DOM,Event Listeners
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,DOM,Manipulating Styles
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Modern JS (ES6),Arrow Functions
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Modern JS (ES6),Destructuring
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Modern JS (ES6),Spread/Rest Operator
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Modern JS (ES6),Modules
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Async JS,Promises
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Async JS,Async/Await
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Async JS,Fetch API
javascript,JavaScript,Web Development,Make the web interactive. Master the world's most versatile language for frontend and backend.,Async JS,Error Handling
